Date,MyWay,Paper Ticket,Total
12-04-2022,9662,471,10133
13-04-2022,9344,479,9823
14-04-2022,8972,587,9559
15-04-2022,2911,452,3363
16-04-2022,4536,537,5073
17-04-2022,3452,474,3926
18-04-2022,3453,338,3791
19-04-2022,8559,384,8943
20-04-2022,9037,564,9601
21-04-2022,9061,532,9593
22-04-2022,8916,597,9513
23-04-2022,4980,633,5613
24-04-2022,4929,1299,6228
25-04-2022,3377,346,3723
26-04-2022,10890,424,11314
27-04-2022,10928,327,11255
28-04-2022,10846,375,11221
29-04-2022,11088,512,11600
30-04-2022,5560,491,6051
01-05-2022,4080,368,4448
02-05-2022,10202,378,10580
03-05-2022,11114,325,11439
04-05-2022,10946,317,11263
05-05-2022,11087,360,11447
06-05-2022,10901,471,11372
07-05-2022,5249,502,5751
08-05-2022,3890,336,4226
09-05-2022,10499,334,10833
10-05-2022,11071,332,11403
11-05-2022,11023,356,11379
12-05-2022,9510,312,9822
13-05-2022,10731,546,11277
14-05-2022,5297,532,5829
15-05-2022,3528,251,3779
16-05-2022,10062,322,10384
17-05-2022,11308,377,11685
18-05-2022,10903,360,11263
19-05-2022,11186,430,11616
20-05-2022,10251,474,10725
21-05-2022,5443,493,5936
22-05-2022,3436,260,3696
23-05-2022,10409,361,10770
24-05-2022,11323,352,11675
25-05-2022,11199,332,11531
26-05-2022,11539,360,11899
27-05-2022,10687,538,11225
28-05-2022,4843,452,5295
29-05-2022,4076,350,4426
30-05-2022,2877,152,3029
31-05-2022,9844,267,10111
01-06-2022,10616,323,10939
02-06-2022,10683,356,11039
03-06-2022,10460,458,10918
04-06-2022,4720,375,5095
05-06-2022,3317,201,3518
06-06-2022,9751,328,10079
07-06-2022,10397,274,10671
08-06-2022,10696,352,11048
09-06-2022,10443,337,10780
10-06-2022,10149,520,10669
11-06-2022,4706,569,5275
12-06-2022,3995,453,4448
13-06-2022,3412,277,3689
14-06-2022,10492,350,10842
15-06-2022,10850,322,11172
16-06-2022,10495,331,10826
17-06-2022,10818,470,11288
18-06-2022,5183,516,5699
19-06-2022,3845,273,4118
20-06-2022,10128,377,10505
21-06-2022,10418,323,10741
22-06-2022,10828,376,11204
23-06-2022,10558,393,10951
24-06-2022,9547,518,10065
25-06-2022,5310,548,5858
26-06-2022,4089,285,4374
27-06-2022,9797,369,10166
28-06-2022,10428,425,10853
29-06-2022,10205,399,10604
30-06-2022,10083,424,10507
01-07-2022,8823,468,9291
02-07-2022,4707,465,5172
03-07-2022,3633,333,3966
04-07-2022,8910,470,9380
05-07-2022,9594,559,10153
06-07-2022,9584,498,10082
07-07-2022,9407,552,9959
08-07-2022,9279,596,9875
09-07-2022,5375,683,6058
10-07-2022,3888,324,4212
11-07-2022,8858,426,9284
12-07-2022,9656,411,10067
13-07-2022,9601,483,10084
14-07-2022,9592,573,10165
15-07-2022,9483,633,10116
16-07-2022,5048,497,5545
17-07-2022,3908,314,4222
18-07-2022,9793,378,10171
19-07-2022,10511,360,10871
20-07-2022,10469,390,10859
21-07-2022,9600,343,9943
22-07-2022,10186,536,10722
23-07-2022,5598,575,6173
24-07-2022,4413,394,4807
25-07-2022,10472,396,10868
26-07-2022,10896,443,11339
27-07-2022,9402,395,9797
28-07-2022,10751,437,11188
29-07-2022,10519,549,11068
30-07-2022,6119,638,6757
31-07-2022,4257,260,4517
01-08-2022,10156,340,10496
02-08-2022,11099,334,11433
03-08-2022,10601,387,10988
04-08-2022,7800,268,8068
05-08-2022,10784,559,11343
06-08-2022,5390,544,5934
07-08-2022,4444,307,4751
08-08-2022,10259,384,10643
09-08-2022,11331,398,11729
10-08-2022,11331,409,11740
11-08-2022,10715,371,11086
12-08-2022,10333,461,10794
13-08-2022,5632,505,6137
14-08-2022,4060,281,4341
15-08-2022,10679,337,11016
16-08-2022,11023,386,11409
17-08-2022,11433,396,11829
18-08-2022,10826,505,11331
19-08-2022,11123,494,11617
20-08-2022,5765,624,6389
21-08-2022,4298,278,4576
22-08-2022,10488,349,10837
23-08-2022,10390,313,10703
24-08-2022,11375,370,11745
25-08-2022,11463,414,11877
26-08-2022,11242,608,11850
27-08-2022,6213,682,6895
28-08-2022,4523,368,4891
29-08-2022,9859,330,10189
30-08-2022,11221,345,11566
31-08-2022,10802,388,11190
01-09-2022,11490,394,11884
02-09-2022,11299,504,11803
03-09-2022,5942,539,6481
04-09-2022,4410,327,4737
05-09-2022,10835,391,11226
06-09-2022,11258,390,11648
07-09-2022,11517,409,11926
08-09-2022,10857,396,11253
09-09-2022,6369,486,6855
10-09-2022,6585,674,7259
11-09-2022,4803,366,5169
12-09-2022,10768,351,11119
13-09-2022,11665,375,12040
14-09-2022,11551,391,11942
15-09-2022,10619,392,11011
16-09-2022,11324,578,11902
17-09-2022,5918,675,6593
18-09-2022,4438,372,4810
19-09-2022,11310,483,11793
20-09-2022,12309,572,12881
21-09-2022,11945,497,12442
22-09-2022,4828,477,5305
23-09-2022,10879,726,11605
24-09-2022,6009,773,6782
25-09-2022,5151,497,5648
26-09-2022,10481,643,11124
27-09-2022,10343,550,10893
28-09-2022,10803,614,11417
29-09-2022,11003,691,11694
30-09-2022,10766,821,11587
01-10-2022,6201,965,7166
02-10-2022,5200,674,5874
03-10-2022,4492,503,4995
04-10-2022,10975,637,11612
05-10-2022,9458,395,9853
06-10-2022,9718,547,10265
07-10-2022,9600,554,10154
08-10-2022,5658,669,6327
09-10-2022,4452,335,4787
10-10-2022,11580,481,12061
11-10-2022,12255,439,12694
12-10-2022,12345,545,12890
13-10-2022,11878,570,12448
14-10-2022,11268,664,11932
15-10-2022,6264,708,6972
16-10-2022,4833,441,5274
17-10-2022,11477,409,11886
18-10-2022,12165,412,12577
19-10-2022,12381,407,12788
20-10-2022,12065,512,12577
21-10-2022,11390,546,11936
22-10-2022,4892,499,5391
23-10-2022,4658,335,4993
24-10-2022,11041,377,11418
25-10-2022,12006,413,12419
26-10-2022,11924,388,12312
27-10-2022,11988,449,12437
28-10-2022,11421,614,12035
29-10-2022,6915,587,7502
30-10-2022,4807,387,5194
31-10-2022,9524,354,9878
01-11-2022,10874,405,11279
02-11-2022,11684,428,12112
03-11-2022,11514,431,11945
04-11-2022,11552,549,12101
05-11-2022,6314,566,6880
06-11-2022,4819,369,5188
07-11-2022,10966,383,11349
08-11-2022,12116,431,12547
09-11-2022,12246,435,12681
10-11-2022,12048,475,12523
11-11-2022,11891,600,12491
12-11-2022,6291,635,6926
13-11-2022,3727,272,3999
14-11-2022,11170,351,11521
15-11-2022,12306,496,12802
16-11-2022,11919,474,12393
17-11-2022,12373,544,12917
18-11-2022,11725,743,12468
19-11-2022,6338,648,6986
20-11-2022,4731,374,5105
21-11-2022,11011,497,11508
22-11-2022,11986,457,12443
23-11-2022,12111,459,12570
24-11-2022,12223,475,12698
25-11-2022,11582,926,12508
26-11-2022,7609,2867,10476
27-11-2022,4988,410,5398
28-11-2022,11235,539,11774
29-11-2022,12252,494,12746
30-11-2022,12046,565,12611
01-12-2022,11933,550,12483
02-12-2022,12176,783,12959
03-12-2022,6545,636,7181
04-12-2022,4623,420,5043
05-12-2022,11279,520,11799
06-12-2022,12315,534,12849
07-12-2022,12380,581,12961
08-12-2022,12408,554,12962
09-12-2022,12117,741,12858
10-12-2022,6899,708,7607
11-12-2022,5309,460,5769
12-12-2022,9481,417,9898
13-12-2022,11889,542,12431
14-12-2022,11552,527,12079
15-12-2022,11738,588,12326
16-12-2022,11529,746,12275
17-12-2022,6484,622,7106
18-12-2022,4696,378,5074
19-12-2022,9618,539,10157
20-12-2022,10113,575,10688
21-12-2022,9707,526,10233
22-12-2022,8354,464,8818
23-12-2022,8260,596,8856
24-12-2022,4353,337,4690
25-12-2022,1169,53,1222
